,Name,Brand Name,Rating,Current Price,Original Price,Discount,RAM,ROM,Feature 1,Feature 2
791,"REDMI 13C (Starfrost White, 128 GB)",REDMI,4.3,"₹7,699","₹11,999",35%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
792,"Motorola G34 5G (Ocean Green, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,
793,"POCO M6 Pro 5G (Power Black, 128 GB)",POCO,4.3,"₹9,999","₹16,999",41%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
794,"Motorola G34 5G (Ice Blue, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
795,"Motorola G34 5G (Charcoal Black, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
796,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
797,"POCO C65 (Pastel Blue, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
798,"POCO C65 (Matte Black, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
799,"Motorola g04s (Concord Black, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
800,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",OnePlus,4.4,"₹18,935","₹21,999",13%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
801,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",OnePlus,4.4,"₹16,899","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
802,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,4.1,"₹1,199","₹1,599",25%,32 MB RAM , 32 MB ROM4.5 cm (1.77 inch) Display0MP , 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,
803,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",OnePlus,4.4,"₹16,938","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
804,"realme 12x 5G (Twilight Purple, 128 GB)",realme,4.3,"₹14,999","₹18,999",21%,8 GB RAM , 128 GB ROM , Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
805,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,4.1,"₹1,244","₹1,599",22%,32 MB RAM , 32 MB ROM4.5 cm (1.77 inch) Display0MP , 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,
806,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",OnePlus,4.4,"₹19,790","₹21,999",10%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
807,"Apple iPhone 14 Plus (Midnight, 128 GB)",Apple,4.6,"₹61,999","₹79,900",22%,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP ," 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",,
808,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹7,499","₹11,999",37%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
809,"MOTOROLA g24 Power (Glacier Blue, 128 GB)",MOTOROLA,4.2,"₹7,999","₹11,999",33%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP , 16MP Front Camera6000 mAh BatteryHelio G85 Processor1 Year on Handset and 6 Months on Accessories
810,"vivo T3x 5G (Celestial Green, 128 GB)",vivo,4.5,"₹14,999","₹18,999",21%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
811,"vivo T3x 5G (Celestial Green, 128 GB)",vivo,4.4,"₹13,499","₹17,499",22%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
812,"Motorola g04s (Satin Blue, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
813,"Motorola g64 5G (Pearl Blue, 128 GB)",Motorola,4.2,"₹13,999","₹17,999",22%,8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP , 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
814,"realme 12x 5G (Twilight Purple, 128 GB)",realme,4.4,"₹12,999","₹17,999",27%,6 GB RAM , 128 GB ROM , Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
815,"REDMI 13C (Starfrost White, 128 GB)",REDMI,4.3,"₹7,699","₹11,999",35%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
816,"Motorola G34 5G (Ocean Green, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,
817,"POCO M6 Pro 5G (Power Black, 128 GB)",POCO,4.3,"₹9,999","₹16,999",41%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
818,"Motorola G34 5G (Ice Blue, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
819,"Motorola G34 5G (Charcoal Black, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
820,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
821,"POCO C65 (Pastel Blue, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
822,"POCO C65 (Matte Black, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
823,"Motorola g04s (Concord Black, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
824,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",OnePlus,4.4,"₹18,935","₹21,999",13%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
825,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",OnePlus,4.4,"₹16,899","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
826,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,4.1,"₹1,199","₹1,599",25%,32 MB RAM , 32 MB ROM4.5 cm (1.77 inch) Display0MP , 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,
827,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",OnePlus,4.4,"₹16,938","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
828,"realme 12x 5G (Twilight Purple, 128 GB)",realme,4.3,"₹14,999","₹18,999",21%,8 GB RAM , 128 GB ROM , Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
829,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,4.1,"₹1,244","₹1,599",22%,32 MB RAM , 32 MB ROM4.5 cm (1.77 inch) Display0MP , 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,
830,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",OnePlus,4.4,"₹19,790","₹21,999",10%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
831,"Apple iPhone 14 Plus (Midnight, 128 GB)",Apple,4.6,"₹61,999","₹79,900",22%,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP ," 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",,
832,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹7,499","₹11,999",37%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
833,"MOTOROLA g24 Power (Glacier Blue, 128 GB)",MOTOROLA,4.2,"₹7,999","₹11,999",33%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP , 16MP Front Camera6000 mAh BatteryHelio G85 Processor1 Year on Handset and 6 Months on Accessories
834,"vivo T3x 5G (Celestial Green, 128 GB)",vivo,4.5,"₹14,999","₹18,999",21%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
835,"vivo T3x 5G (Celestial Green, 128 GB)",vivo,4.4,"₹13,499","₹17,499",22%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
836,"Motorola g04s (Satin Blue, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
837,"Motorola g64 5G (Pearl Blue, 128 GB)",Motorola,4.2,"₹13,999","₹17,999",22%,8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP , 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
838,"realme 12x 5G (Twilight Purple, 128 GB)",realme,4.4,"₹12,999","₹17,999",27%,6 GB RAM , 128 GB ROM , Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
839,"REDMI 13C (Starfrost White, 128 GB)",REDMI,4.3,"₹7,699","₹11,999",35%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
840,"Motorola G34 5G (Ocean Green, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,
841,"POCO M6 Pro 5G (Power Black, 128 GB)",POCO,4.3,"₹9,999","₹16,999",41%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
842,"Motorola G34 5G (Ice Blue, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
843,"Motorola G34 5G (Charcoal Black, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
844,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
845,"POCO C65 (Pastel Blue, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
846,"POCO C65 (Matte Black, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
847,"Motorola g04s (Concord Black, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
848,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",OnePlus,4.4,"₹18,935","₹21,999",13%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
849,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",OnePlus,4.4,"₹16,899","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
850,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,4.1,"₹1,199","₹1,599",25%,32 MB RAM , 32 MB ROM4.5 cm (1.77 inch) Display0MP , 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,
851,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",OnePlus,4.4,"₹16,938","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
852,"realme 12x 5G (Twilight Purple, 128 GB)",realme,4.3,"₹14,999","₹18,999",21%,8 GB RAM , 128 GB ROM , Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
853,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",Nokia,4.1,"₹1,244","₹1,599",22%,32 MB RAM , 32 MB ROM4.5 cm (1.77 inch) Display0MP , 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,
854,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",OnePlus,4.4,"₹19,790","₹21,999",10%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
855,"Apple iPhone 14 Plus (Midnight, 128 GB)",Apple,4.6,"₹61,999","₹79,900",22%,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP ," 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",,
856,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹7,499","₹11,999",37%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
857,"MOTOROLA g24 Power (Glacier Blue, 128 GB)",MOTOROLA,4.2,"₹7,999","₹11,999",33%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP , 16MP Front Camera6000 mAh BatteryHelio G85 Processor1 Year on Handset and 6 Months on Accessories
858,"vivo T3x 5G (Celestial Green, 128 GB)",vivo,4.5,"₹14,999","₹18,999",21%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
859,"vivo T3x 5G (Celestial Green, 128 GB)",vivo,4.4,"₹13,499","₹17,499",22%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
860,"Motorola g04s (Satin Blue, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
861,"Motorola g64 5G (Pearl Blue, 128 GB)",Motorola,4.2,"₹13,999","₹17,999",22%,8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP , 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
862,"realme 12x 5G (Twilight Purple, 128 GB)",realme,4.4,"₹12,999","₹17,999",27%,6 GB RAM , 128 GB ROM , Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
863,"REDMI 13C (Starfrost White, 128 GB)",REDMI,4.3,"₹7,699","₹11,999",35%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
864,"Motorola G34 5G (Ocean Green, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,
865,"POCO M6 Pro 5G (Power Black, 128 GB)",POCO,4.3,"₹9,999","₹16,999",41%,6 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP , 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
866,"Motorola G34 5G (Ice Blue, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
867,"Motorola G34 5G (Charcoal Black, 128 GB)",Motorola,4.2,"₹11,999","₹14,999",20%,8 GB RAM , 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP , 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,
868,"POCO C65 (Pastel Green, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
869,"POCO C65 (Pastel Blue, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
870,"POCO C65 (Matte Black, 128 GB)",POCO,4.2,"₹6,799","₹10,999",38%,4 GB RAM , 128 GB ROM , Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP , 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
871,"Motorola g04s (Concord Black, 64 GB)",Motorola,4.3,"₹6,999","₹9,999",30%,4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera , 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
872,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",OnePlus,4.4,"₹18,935","₹21,999",13%,8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
873,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",OnePlus,4.4,"₹16,899","₹19,999",15%,8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,,
